iter	Passed	Remaining
563	20368	15746
564	20390	15699
565	20413	15653
566	20437	15607
567	20460	15561
568	20489	15520
569	20517	15478
570	20542	15433
571	20565	15388
572	20589	15343
573	20612	15297
574	20635	15252
575	20658	15206
576	20681	15161
577	20711	15121
578	20739	15080
579	20763	15035
580	20787	14990
581	20814	14949
582	20837	14904
583	20862	14860
584	20885	14816
585	20908	14771
586	20938	14731
587	20965	14690
588	20987	14645
589	21011	14601
590	21035	14557
591	21058	14513
592	21082	14469
593	21104	14425
594	21126	14380
595	21153	14338
596	21184	14300
597	21209	14257
598	21232	14214
599	21257	14171
600	21282	14129
601	21306	14086
602	21329	14042
603	21359	14003
604	21391	13966
605	21416	13923
606	21441	13882
607	21466	13840
608	21490	13797
609	21514	13755
610	21540	13713
611	21565	13672
612	21595	13633
613	21625	13595
614	21649	13553
615	21674	13511
616	21701	13471
617	21725	13429
618	21751	13388
619	21775	13346
620	21804	13307
621	21836	13270
622	21861	13229
623	21887	13188
624	21911	13147
625	21945	13110
626	21967	13068
627	21991	13027
628	22020	12988
629	22053	12952
630	22078	12911
631	22105	12871
632	22131	12831
633	22157	12791
634	22183	12750
635	22207	12709
636	22235	12671
637	22269	12635
638	22294	12595
639	22319	12554
640	22343	12514
641	22368	12473
642	22394	12433
643	22417	12392
644	22445	12353
645	22474	12315
646	22503	12278
647	22528	12237
648	22553	12197
649	22577	12156
650	22601	12116
651	22625	12076
652	22650	12036
653	22680	11999
654	22712	11963
655	22737	11923
656	22763	11884
657	22789	11845
658	22816	11806
659	22841	11766
660	22866	11727
661	22894	11689
662	22924	11652
663	22947	11612
664	22970	11571
665	22997	11533
666	23022	11494
667	23048	11455
668	23072	11415
669	23100	11378
670	23131	11341
671	23155	11302
672	23178	11261
673	23202	11222
674	23225	11182
675	23249	11143
676	23272	11103
677	23296	11064
678	23327	11028
679	23353	10990
680	23382	10953
681	23406	10913
682	23431	10875
683	23457	10836
684	23482	10798
685	23506	10759
686	23531	10720
687	23564	10686
688	23593	10649
689	23618	10611
690	23642	10572
691	23666	10533
692	23691	10495
693	23716	10457
694	23740	10418
695	23767	10381
696	23802	10347
697	23829	10310
698	23855	10272
699	23881	10234
700	23906	10196
701	23931	10159
702	23956	10121
703	23982	10083
704	24014	10048
705	24040	10011
706	24065	9973
707	24091	9936
708	24115	9897
709	24140	9860
710	24163	9821
711	24189	9784
712	24220	9749
713	24246	9712
714	24271	9674
715	24294	9636
716	24321	9599
717	24346	9562
718	24369	9524
719	24396	9487
720	24428	9453
721	24453	9415
722	24478	9378
723	24503	9341
724	24529	9304
725	24553	9266
726	24578	9229
727	24606	9193
728	24639	9159
729	24666	9123
730	24690	9085
731	24716	9049
732	24740	9011
733	24765	8975
734	24790	8938
735	24816	8901
736	24847	8867
737	24874	8830
738	24899	8793
739	24925	8757
740	24949	8720
741	24974	8683
742	25002	8648
743	25026	8611
744	25059	8577
745	25086	8541
746	25112	8505
747	25136	8468
748	25162	8432
749	25187	8395
750	25211	8358
751	25236	8322
752	25261	8286
753	25290	8251
754	25319	8216
755	25343	8179
756	25368	8143
757	25394	8107
758	25419	8071
759	25443	8034
760	25467	7998
761	25491	7961
762	25523	7927
763	25555	7893
764	25581	7858
765	25605	7822
766	25630	7786
767	25655	7750
768	25679	7713
769	25704	7678
770	25730	7642
771	25761	7608
772	25853	7592
773	25904	7563
774	25934	7529
775	25967	7495
776	25995	7460
777	26022	7425
778	26050	7390
779	26079	7355
780	26108	7321
781	26141	7287
782	26171	7253
783	26202	7219
784	26230	7184
785	26731	7277
786	27424	7422
787	28198	7586
788	28998	7755
789	29701	7895
790	30268	7997
791	30900	8115
792	31150	8131
793	31189	8091
794	31224	8051
795	31253	8009
796	31282	7967
797	31311	7926
798	31342	7884
799	31400	7850
800	31435	7809
801	31466	7768
802	31495	7726
803	31525	7685
804	31555	7643
805	31585	7602
806	31618	7561
807	31654	7521
808	31682	7480
809	31715	7439
810	31746	7398
811	31775	7356
812	31803	7315
813	31837	7274
814	31872	7234
815	31900	7193
816	31928	7151
817	31955	7109
818	31983	7068
819	32010	7026
820	32039	6985
821	32075	6945
822	32102	6904
823	32127	6862
824	32154	6820
825	32181	6779
826	32209	6737
827	32236	6696
828	32272	6656
829	32306	6616
830	32338	6576
831	32369	6536
832	32401	6495
833	32433	6455
834	32465	6415
835	32498	6375
836	32530	6335
837	32560	6294
838	32590	6254
839	32618	6213
840	32649	6172
841	32679	6132
842	32708	6091
843	32740	6051
844	32768	6010
845	32795	5969
846	32821	5928
847	32848	5887
848	32876	5847
849	32904	5806
850	32937	5767
851	32963	5726
852	32991	5685
853	33018	5644
854	33045	5604
855	33070	5563
856	33095	5522
857	33122	5481
858	33152	5441
859	33194	5403
860	33224	5363
861	33255	5324
862	33287	5284
863	33315	5244
864	33346	5204
865	33385	5165
866	33418	5126
867	33449	5086
868	33481	5047
869	33513	5007
870	33543	4967
871	33575	4928
872	33610	4889
873	33642	4850
874	33672	4810
875	33703	4770
876	33729	4730
877	33755	4690
878	33782	4650
879	33810	4610
880	33845	4571
881	33871	4531
882	33898	4491
883	33925	4451
884	33951	4411
885	33979	4372
886	34005	4332
887	34042	4293
888	34069	4253
889	34097	4214
890	34122	4174
891	34151	4134
892	34185	4096
893	34212	4056
894	34239	4016
895	34270	3977
896	34305	3939
897	34332	3899
898	34373	3861
899	34403	3822
900	34430	3783
901	34458	3743
902	34487	3704
903	34523	3666
904	34551	3626
905	34578	3587
906	34605	3548
907	34631	3508
908	34658	3469
909	34685	3430
910	34719	3391
911	34750	3353
912	34777	3313
913	34803	3274
914	34828	3235
915	34854	3196
916	34882	3157
917	34909	3118
918	34939	3079
919	34973	3041
920	35001	3002
921	35028	2963
922	35057	2924
923	35082	2885
924	35107	2846
925	35135	2807
926	35165	2769
927	35197	2730
928	35223	2692
929	35248	2653
930	35274	2614
931	35301	2575
932	35328	2537
933	35358	2498
934	35399	2460
935	35430	2422
936	35456	2383
937	35481	2345
938	35508	2306
939	35534	2268
940	35562	2229
941	35595	2191
942	35629	2153
943	35654	2115
944	35680	2076
945	35707	2038
946	35733	1999
947	35759	1961
948	35785	1923
949	35814	1884
950	35847	1847
951	35875	1808
952	35900	1770
953	35927	1732
954	35954	1694
955	35979	1655
956	36006	1617
957	36460	1598
958	37181	1589
959	37890	1578
960	38799	1574
961	39614	1564
962	40951	1573
963	41042	1532
964	41080	1489
965	41111	1446
966	41142	1404
967	41175	1361
968	41204	1318
969	41231	1275
970	41259	1232
971	41284	1189
972	41311	1146
973	41338	1103
974	41368	1060
975	41402	1018
976	41429	975
977	41455	932
978	41481	889
979	41508	847
980	41535	804
981	41561	761
982	41595	719
983	41623	676
984	41650	634
985	41677	591
986	41704	549
987	41730	506
988	41758	464
989	41785	422
990	41815	379
991	41848	337
992	41877	295
993	41906	252
994	41937	210
995	41970	168
996	41999	126
997	42033	84
998	42068	42
999	42099	0
